Trade ID,Date,Stock Symbol,Buy/Sell,Quantity,Price,Total Value,Profit/Loss
1,2025-01-01,META,Sell,5,1467.94,7339.700000000001,-495.94
2,2025-01-01,MSFT,Buy,99,1428.02,141373.98,774.92
3,2025-01-01,GOOGL,Sell,61,335.72,20478.920000000002,71.34
4,2025-01-01,META,Sell,92,2270.3,208867.6,244.06
5,2025-01-01,AMZN,Buy,93,2592.21,241075.53,-488.35
6,2025-01-01,GOOGL,Buy,9,2398.83,21589.47,238.14
7,2025-01-01,GOOGL,Sell,50,570.68,28533.999999999996,979.73
8,2025-01-01,META,Buy,6,2068.06,12408.36,-82.6
9,2025-01-01,TSLA,Sell,83,2036.25,169008.75,93.13
10,2025-01-01,AMZN,Sell,60,3052.6,183156.0,530.78
11,2025-01-01,META,Sell,44,1389.03,61117.32,722.19
12,2025-01-01,AMZN,Sell,11,1363.05,14993.55,126.09
13,2025-01-01,AMZN,Buy,66,2202.99,145397.34,-35.5
14,2025-01-01,GOOGL,Buy,47,2252.45,105865.15,906.74
15,2025-01-01,MSFT,Buy,73,1695.57,123776.61,515.72
16,2025-01-01,AMZN,Buy,85,1606.4,136544.0,-321.47
17,2025-01-01,NFLX,Sell,88,1780.1,156648.8,-396.61
18,2025-01-01,GOOGL,Sell,98,3027.55,296699.9,225.32
19,2025-01-01,TSLA,Buy,86,1667.97,143445.42,-169.86
20,2025-01-01,MSFT,Sell,3,3295.77,9887.31,-119.02
21,2025-01-01,NFLX,Sell,76,1813.61,137834.36,816.54
22,2025-01-01,NFLX,Sell,92,3327.28,306109.76,-365.65
23,2025-01-01,TSLA,Buy,30,2931.63,87948.90000000001,573.05
24,2025-01-01,MSFT,Buy,90,1332.27,119904.3,-93.29
25,2025-01-02,GOOGL,Buy,21,3036.38,63763.98,640.49
26,2025-01-02,AAPL,Sell,28,474.22,13278.16,583.62
27,2025-01-02,MSFT,Buy,90,3245.16,292064.39999999997,-488.91
28,2025-01-02,TSLA,Buy,62,2247.59,139350.58000000002,263.7
29,2025-01-02,NFLX,Buy,33,284.93,9402.69,-291.02
30,2025-01-02,GOOGL,Buy,85,2290.47,194689.94999999998,799.34
31,2025-01-02,MSFT,Buy,35,3412.44,119435.40000000001,807.38
32,2025-01-02,AAPL,Buy,52,337.32,17540.64,127.52
33,2025-01-02,AAPL,Sell,34,1985.94,67521.96,166.59
34,2025-01-02,AMZN,Sell,41,2642.5,108342.5,-45.08
35,2025-01-02,AMZN,Buy,51,2854.88,145598.88,574.91
36,2025-01-02,META,Buy,47,1507.01,70829.47,37.99
37,2025-01-02,TSLA,Sell,82,794.17,65121.939999999995,-98.31
38,2025-01-02,MSFT,Sell,58,243.96,14149.68,148.35
39,2025-01-02,MSFT,Buy,75,2071.07,155330.25,-362.77
40,2025-01-02,META,Buy,57,1639.9,93474.3,619.9
41,2025-01-02,NFLX,Buy,23,3325.73,76491.79,-481.11
42,2025-01-02,NFLX,Buy,48,306.06,14690.880000000001,466.73
43,2025-01-02,META,Sell,22,2430.34,53467.48,-225.7
44,2025-01-02,NFLX,Buy,17,184.89,3143.1299999999997,-151.39
45,2025-01-02,AMZN,Buy,69,682.88,47118.72,453.45
46,2025-01-02,MSFT,Buy,11,1642.17,18063.870000000003,989.42
47,2025-01-02,META,Buy,94,1646.57,154777.58,666.58
48,2025-01-02,MSFT,Sell,15,2431.38,36470.700000000004,-161.24
49,2025-01-03,AAPL,Sell,91,3194.72,290719.51999999996,-235.96
50,2025-01-03,AMZN,Sell,35,2272.71,79544.85,799.35
51,2025-01-03,GOOGL,Buy,33,3342.02,110286.66,166.28
52,2025-01-03,AMZN,Buy,84,3097.49,260189.15999999997,-294.42
53,2025-01-03,META,Sell,16,2087.3,33396.8,793.32
54,2025-01-03,GOOGL,Buy,34,2934.89,99786.26,724.14
55,2025-01-03,AAPL,Buy,66,2284.76,150794.16,975.86
56,2025-01-03,META,Sell,99,367.1,36342.9,864.62
57,2025-01-03,TSLA,Sell,40,2617.92,104716.8,777.69
58,2025-01-03,MSFT,Sell,28,422.69,11835.32,-421.14
59,2025-01-03,AAPL,Sell,47,2119.88,99634.36,-343.38
60,2025-01-03,MSFT,Buy,39,2488.98,97070.22,353.47
61,2025-01-03,NFLX,Buy,70,326.19,22833.3,297.22
62,2025-01-03,TSLA,Sell,73,884.7,64583.100000000006,186.94
63,2025-01-03,TSLA,Buy,20,3213.29,64265.8,95.18
64,2025-01-03,AAPL,Sell,1,2195.47,2195.47,146.82
65,2025-01-03,TSLA,Sell,72,937.37,67490.64,353.95
66,2025-01-03,GOOGL,Buy,87,2448.31,213002.97,-496.89
67,2025-01-03,TSLA,Sell,63,2129.04,134129.52,-108.94
68,2025-01-03,MSFT,Buy,67,1805.36,120959.12,277.42
69,2025-01-03,MSFT,Buy,4,3419.04,13676.16,583.32
70,2025-01-03,META,Buy,58,2423.74,140576.91999999998,-238.76
71,2025-01-03,MSFT,Buy,25,1376.5,34412.5,320.32
72,2025-01-03,META,Sell,47,2820.25,132551.75,571.69
73,2025-01-04,MSFT,Buy,38,3107.58,118088.04,166.94
74,2025-01-04,GOOGL,Sell,15,525.75,7886.25,-459.38
75,2025-01-04,META,Sell,63,781.88,49258.44,173.9
76,2025-01-04,AMZN,Sell,21,835.17,17538.57,-55.33
77,2025-01-04,NFLX,Sell,99,2450.12,242561.87999999998,894.47
78,2025-01-04,AAPL,Buy,57,2150.33,122568.81,-313.08
79,2025-01-04,MSFT,Buy,53,2204.57,116842.21,478.71
80,2025-01-04,TSLA,Sell,46,3298.63,151736.98,-420.92
81,2025-01-04,MSFT,Sell,14,2738.1,38333.4,169.26
82,2025-01-04,TSLA,Buy,76,534.99,40659.24,330.97
83,2025-01-04,NFLX,Sell,17,1281.52,21785.84,-53.07
